,d,a,n,tol,integral,loss,time,rank
87,1.0,5.0,5.0,0.001,1.0850046370689985,0.08500463706899852,0.0026373863220214844,1.0
88,2.0,5.0,5.0,1e-07,1.1772344109419925,0.17723441094199255,0.0048100948333740234,5.0
89,2.0,5.0,5.0,0.001,1.1772344109419925,0.17723441094199255,0.0048236846923828125,5.0
90,2.0,5.0,5.0,1e-05,1.1772344109419925,0.17723441094199255,0.004815816879272461,5.0
91,1.0,1.0,5.0,1e-05,0.793507191484159,0.20649280851584095,0.0027048587799072266,1.0
92,1.0,1.0,5.0,1e-07,0.793507191484159,0.20649280851584095,0.0027725696563720703,1.0
93,1.0,1.0,5.0,0.001,0.793507191484159,0.20649280851584095,0.002543210983276367,1.0
94,1.0,15.0,11.0,0.001,1.2234179681312232,0.22341796813122317,0.0016415119171142578,1.0
95,1.0,15.0,11.0,1e-07,1.2234179681312232,0.22341796813122317,0.0016551017761230469,1.0
96,1.0,30.0,21.0,0.001,1.2234179681312232,0.22341796813122317,0.0017080307006835938,1.0
97,1.0,30.0,21.0,1e-07,1.2234179681312232,0.22341796813122317,0.0017194747924804688,1.0
98,1.0,15.0,11.0,1e-05,1.2234179681312232,0.22341796813122317,0.00165557861328125,1.0
99,1.0,30.0,21.0,1e-05,1.2234179681312232,0.22341796813122317,0.001739501953125,1.0
100,1.0,1.0,11.0,0.001,0.7294683418607689,0.2705316581392311,0.0029914379119873047,1.0
101,1.0,1.0,11.0,1e-07,0.7294683418607689,0.2705316581392311,0.0027856826782226562,1.0
102,1.0,1.0,11.0,1e-05,0.7294683418607689,0.2705316581392311,0.002751588821411133,1.0
103,3.0,5.0,5.0,0.001,1.2771351866023886,0.27713518660238856,0.0070497989654541016,7.0
104,3.0,5.0,5.0,1e-07,1.2771351866023886,0.27713518660238856,0.005945920944213867,7.0
105,3.0,5.0,5.0,1e-05,1.2771351866023886,0.27713518660238856,0.0049211978912353516,7.0
106,1.0,1.0,21.0,1e-05,0.7064831455238546,0.2935168544761454,0.004586458206176758,1.0
107,1.0,1.0,21.0,0.001,0.7064831455238546,0.2935168544761454,0.0028228759765625,1.0
108,1.0,1.0,21.0,1e-07,0.7064831455238546,0.2935168544761454,0.004305362701416016,1.0
109,1.0,1.0,51.0,0.001,0.6923037921495586,0.3076962078504414,0.0032033920288085938,1.0
110,1.0,1.0,51.0,1e-07,0.6923037921495586,0.3076962078504414,0.0032303333282470703,1.0
111,1.0,1.0,51.0,1e-05,0.6923037921495586,0.3076962078504414,0.003255128860473633,1.0
112,1.0,1.0,71.0,0.001,0.6895700193261851,0.3104299806738149,0.006728172302246094,1.0
113,1.0,1.0,71.0,1e-07,0.6895700193261851,0.3104299806738149,0.0034890174865722656,1.0
114,1.0,1.0,71.0,1e-05,0.6895700193261851,0.3104299806738149,0.0034813880920410156,1.0
115,2.0,1.0,5.0,0.001,0.5601904221725804,0.4398095778274196,0.002892017364501953,5.0
116,2.0,1.0,5.0,1e-05,0.5601904221725804,0.4398095778274196,0.002926349639892578,5.0
117,2.0,1.0,5.0,1e-07,0.5601904221725804,0.4398095778274196,0.0029435157775878906,5.0
118,2.0,30.0,21.0,1e-07,1.496751524746331,0.496751524746331,0.0057353973388671875,14.0
119,2.0,30.0,21.0,0.001,1.496751524746331,0.496751524746331,0.005673646926879883,14.0
120,2.0,15.0,11.0,0.001,1.496751524746331,0.496751524746331,0.00600433349609375,10.0
121,2.0,15.0,11.0,1e-05,1.496751524746331,0.496751524746331,0.0055391788482666016,10.0
122,2.0,30.0,21.0,1e-05,1.496751524746331,0.496751524746331,0.005696535110473633,14.0
